"","SRR6078283.bam","SRR6078284.bam","SRR6078285.bam","SRR6078300.bam","SRR6078301.bam","SRR6078302.bam"
"TP73-AS1",625,449,648,579,810,1005
"CCDC27",0,0,1,0,0,1
"SMIM1",0,1,4,3,3,0
"LRRC47",761,1066,948,862,980,979
"CEP104",578,584,443,747,758,608
"DFFB",98,136,127,88,137,144
"LOC107984910",18,15,12,3,3,7
"C1orf174",365,448,407,474,567,488
"LINC01134",7,4,8,6,8,8
"LINC01346",0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0
"LOC105376673",0,0,0,0,0,0
"LINC01777",0,0,0,0,0,0
"LOC105376674",0,0,0,0,0,0
"LINC01646",0,0,0,0,0,0
"LOC107985376",0,0,0,0,0,0
"AJAP1",11,114,11,4,2,1
"LOC105376680",0,0,0,1,0,0
"LOC102724429",0,0,0,0,0,0
"LOC105376681",0,0,0,0,0,0
"LOC105376682",0,0,0,0,0,0
"LOC107984911",0,0,0,0,0,0
"LOC105376686",0,0,0,0,0,0
"MIR4689",0,0,0,1,0,1
"NPHP4",314,292,328,488,421,445
"KCNAB2",114,50,93,51,77,103
"CHD5",1,7,3,6,7,5
"LOC105376687",0,0,0,0,0,0
"RPL22",2021,1452,2414,1930,2111,3852
"LOC107985733",16,6,9,3,2,6
"LOC102724450",6,5,6,1,3,3
"RNF207",98,165,183,61,74,107
"ICMT",2941,3183,3104,5107,4972,4431
"LINC00337",2,0,2,3,4,1
"HES3",0,1,0,0,1,0
"GPR153",389,90,258,528,298,1020
"ACOT7",112,435,233,349,496,173
"HES2",0,0,1,0,1,2
"ESPN",1,0,2,0,0,4
"MIR4252",0,0,0,0,0,0
"TNFRSF25",45,34,61,56,72,65
"PLEKHG5",317,225,325,493,430,381
"NOL9",928,783,932,974,1201,1504
"TAS1R1",4,1,10,11,8,14
"LOC107984912",0,0,0,0,0,0
"ZBTB48",235,282,311,222,296,410
"KLHL21",1504,1647,1414,2077,1489,2258
"LOC107984913",65,44,46,43,28,74
"PHF13",783,786,798,751,834,1059
"THAP3",239,229,279,240,301,278
"DNAJC11",578,655,527,695,863,712
"LINC01672",0,0,0,0,0,0
"CAMTA1-DT",1,1,2,2,4,5
"CAMTA1",346,274,418,327,404,341
"LOC105376692",0,0,0,0,0,0
"LOC102725193",1,0,0,0,0,0
"LOC101928836",1,0,0,0,0,0
"LOC105376691",0,0,0,0,0,0
"LOC105376689",0,0,0,1,0,0
"VAMP3",2678,2532,3042,2943,3391,2579
"PER3",519,232,363,745,771,703
"UTS2",0,0,0,0,1,0
"TNFRSF9",0,0,3,0,2,2
